fid,year2,year,aggplot_id,site,date,VOLUME,rededge,BGI2,blue,HI,TVI,RGBVI,GR,IHS,GLI,GNDVI,nir,red,green,NGBDI,NDVI,HUE,NDRE,SI,SCI,MGRVI,RVI,DVI,GRVI,NGRDI,BI,GLA,VARI,CIG,CIRE,PSRI,CVI,EXG,BGI,EVI,LAI,CCgrs,CCgrswd
2,2024,2024,20,BlueCreek,07-18-2024,0.0197272095829248,0.00203040498308837,0.651973605155945,9.004870080389e-4,2.46887731552124,0.0326687656342983,0.0998683050274849,1.25558149814606,0.00134018599055707,0.0236311834305525,0.290970027446747,0.00253483280539513,0.00173842429649085,0.00138236256316304,0.210673078894615,0.182327717542648,5.20941760839833e-8,0.108438558876514,0.316497594118118,0.316497594118118,-0.223748683929443,1.44596767425537,4.9889925867319e-4,-0.113310731947422,-0.113310731947422,0.00138341053389013,0.0236311834305525,-0.159365296363831,0.820755243301392,0.243255376815796,0.174347639083862,2.29199719429016,1.287518243771e-4,0.651973605155945,0.00195533782243729,0.04,4,4
2,2024,2024,20,BlueCreek,07-31-2024,0.037194911390543,0.00262326933443546,0.658467471599579,0.00119063025340438,2.53145885467529,0.0292466282844543,0.092272013425827,1.26174652576447,0.00175342487636954,0.0203576274216175,0.261180728673935,0.00307184807024896,0.00226705800741911,0.0018024219898507,0.205932632088661,0.149662211537361,8.82290578374523e-8,0.0782466232776642,0.314428687095642,0.314428687095642,-0.228396400809288,1.35200655460358,4.4553857878781e-4,-0.115727648139,-0.115727648139,0.0018077566055581,0.0203576274216175,-0.163167610764503,0.70702189207077,0.169777765870094,0.178825750946999,2.15578770637512,1.4243922487366e-4,0.658467471599579,0.00199077534489334,0.04,4,4
2,2024,2024,20,BlueCreek,08-30-2024,0.0241100527346134,0.00326089654117823,0.699974477291107,0.00149624235928059,2.55238485336304,0.0499916225671768,0.0734909027814865,1.23233914375305,0.00209980737417936,0.0169937573373318,0.282595783472061,0.00383595377206802,0.00265410915017128,0.00214392738416791,0.176488250494003,0.180734112858772,1.08125448150531e-7,0.0816324502229691,0.274549573659897,0.274549573659897,-0.205926865339279,1.44120991230011,5.7227257639169e-4,-0.104078769683838,-0.104078769683838,0.00215301546268165,0.0169937573373318,-0.15172578394413,0.78782856464386,0.177777275443077,0.153292536735535,2.21479892730713,1.4250981621444e-4,0.699974477291107,0.00289199128746986,0.04,4,4
5,2022,2022,522,Millville,06-10-2022,0.0250161457806826,0.0018606495577842,0.70054703950882,9.0279919095337e-4,2.41936206817627,0.0285406019538641,0.0813147872686386,1.21147704124451,0.00125243549700826,0.0221512261778116,0.264402866363525,0.00232771225273609,0.00155872770119458,0.00129806238692254,0.176092132925987,0.170127540826797,3.49313111769334e-8,0.0982597321271896,0.265512347221375,0.265512347221375,-0.189521074295044,1.41000890731812,4.078522324562e-4,-0.0956270769238472,-0.0956270769238472,0.0012812465429306,0.0221512261778116,-0.140095800161362,0.718879580497742,0.217933565378189,0.150039196014404,2.09028196334839,1.1665962665574e-4,0.70054703950882,0.00167210039217025,0.57,37.33,40
5,2022,2022,522,Millville,07-08-2022,0.023918466642499,0.00171235669404268,0.691460371017456,7.6050119241699e-4,1.9469575881958,0.0436984486877918,0.115052938461304,1.14399135112762,0.00103455246426165,0.0417641550302505,0.315970420837402,0.00221002683974802,0.0012457330012694,0.00109917356166989,0.182410210371017,0.250241547822952,1.60067834542588e-8,0.111997559666634,0.24073614180088,0.24073614180088,-0.133714094758034,1.66752576828003,4.3009829823859e-4,-0.0671585947275162,-0.0671585947275162,0.00105501373764127,0.0417641550302505,-0.0994571298360825,0.923850178718567,0.252246081829071,0.0944761112332344,2.18365097045898,1.7860961088445e-4,0.691460371017456,0.00210948707535863,0.57,37.33,40
5,2022,2022,522,Millville,07-19-2022,0.0311993416398764,0.00183007726445794,0.673610508441925,8.4064353723079e-4,2.06040787696838,0.0489793308079243,0.115761868655682,1.17160141468048,0.0011857149656862,0.0394240655004978,0.324372947216034,0.00251319026574492,0.00146078772377223,0.00125260453205556,0.195021197199821,0.248739942908287,2.58289087895491e-8,0.150644898414612,0.265728354454041,0.265728354454041,-0.157060638070107,1.66219401359558,6.3780171331018e-4,-0.0790206864476204,-0.0790206864476204,0.00121496489737183,0.0394240655004978,-0.114870585501194,0.9602130651474,0.354727685451508,0.120068147778511,2.27898955345154,1.9077424076385e-4,0.673610508441925,0.00240237871184945,0.57,37.33,40
5,2022,2022,522,Millville,08-09-2022,0.0345690622925758,0.00187065941281617,0.670737445354462,8.0249801976606e-4,1.8678286075592,0.0564296171069145,0.130767971277237,1.14083576202393,0.00112012366298586,0.0484962649643421,0.344890743494034,0.00255507393740118,0.00135361007414758,0.00119961390737444,0.197076201438904,0.283576160669327,1.85227229110296e-8,0.143825083971024,0.25634974241256703,0.25634974241256703,-0.131003841757774,1.79164361953735,6.0442800167948e-4,-0.0657853931188583,-0.0657853931188583,0.00114491593558341,0.0484962649643421,-0.0960373282432556,1.05292582511902,0.335971295833588,0.0919901132583618,2.30710983276367,2.182962198276e-4,0.670737445354462,0.00262996507808566,0.57,37.33,40
5,2022,2022,522,Millville,08-29-2022,0.0387581214308739,0.00201827194541693,0.674192070960999,8.2936947001144e-4,1.7344708442688,0.0673333182930946,0.137919306755066,1.11767792701721,0.00114492536522448,0.0536634996533394,0.364486515522003,0.002794069936499,0.00136475672479719,0.00124352984130383,0.1946060359478,0.314666569232941,1.52202801473322e-8,0.151971206068993,0.24353301525116,0.24353301525116,-0.110796503722668,1.91828751564026,6.741601973772e-4,-0.0555693209171295,-0.0555693209171295,0.00116699235513806,0.0536634996533394,-0.0815742164850235,1.14706146717072,0.358410507440567,0.0746810138225555,2.37322425842285,2.4316397320944e-4,0.674192070960999,0.00305882864631712,0.57,37.33,40
5,2022,2022,522,Millville,09-09-2022,0.0376194827258587,0.00210318481549621,0.656841933727264,7.8998081153258e-4,1.62832891941071,0.0761015862226486,0.155376777052879,1.10401105880737,0.00111092673614621,0.0614116229116917,0.384577870368958,0.00284625380299985,0.00131709419656545,0.00122849619947374,0.20711575448513,0.347283154726028,1.27058461529828e-8,0.151463255286217,0.251216143369675,0.251216143369675,-0.0986282899975777,2.06411600112915,7.0991856046021e-4,-0.0494346581399441,-0.0494346581399441,0.00113548326771706,0.0614116229116917,-0.072359137237072,1.24980199337006,0.356998711824417,0.0634149238467216,2.42600202560425,2.7568181394599e-4,0.656841933727264,0.00339038902893662,0.57,37.33,40
5,2022,2022,522,Millville,09-26-2022,0.0462207533419132,0.00216781231574714,0.656994760036469,7.9965603072196e-4,1.54379141330719,0.0845985487103462,0.162828549742699,1.09149622917175,0.00111792387906462,0.0659066364169121,0.40906748175621,0.00321811228059232,0.00130622019059956,0.00125507300253958,0.20700441300869,0.373082667589188,9.722597837935611e-9,0.185553818941116,0.242255985736847,0.242255985736847,-0.0873265117406845,2.1902132034301798,8.7945524137467e-4,-0.0437468178570271,-0.0437468178570271,0.00114284944720566,0.0659066364169121,-0.0636743158102036,1.38448119163513,0.455656439065933,0.0560742057859898,2.5332977771759,3.0116492416709e-4,0.656994760036469,0.00378317618742585,0.57,37.33,40
